Topic_ID,Topic_Name,Count,Keywords,Bibliometric_Overlap_%,Frontier_Status,Representative_Doc_1,Representative_Doc_2,Representative_Doc_3
0,0_entrepreneurial_entrepreneurship_academic_university,763,"entrepreneurial, entrepreneurship, academic, university, research, education, study, universities, students, development",50.0,EMERGING,The entrepreneurial university is regarded as an agent of societal change and an important instrument in the facilitation of the contemporary knowledge-based economy because it supports the generation...,"Entrepreneurship education has drawn the attention of many researchers, who aim to better understand and explain the phenomenon in universities and their innovation ecosystems. Although the research f...","Purpose - Drawing on institutional theory, this paper seeks to untangle the relationship between university support for entrepreneurship and students' entrepreneurial intentions. Specifically, this st..."
1,1_universities_university_research_innovation,422,"universities, university, research, innovation, technology, knowledge, regional, transfer, industry, development",60.0,ESTABLISHED,"From the perspective of university innovation and entrepreneurship, this paper has adopted path analysis and Structural Equation Model(SEM) based on the data collected from 25 provincial-level adminis...","University-industry-innovation networks (UIINs) are made up of entrepreneurial higher education institutions, industry and government. Universities such as Scotland’s Strathclyde University, which was...","University-industry-innovation networks (UIINs) are made up of entrepreneurial higher education institutions, industry and government. Universities such as Scotland's Strathclyde University, which was..."
2,2_spin_usos_offs_university,317,"spin, usos, offs, university, firms, research, companies, academic, paper, growth",30.0,EMERGING,"Purpose: The purpose of this paper is to explore the hypothesis that the university context may partially determine the growth of university spin-offs (USOs), with a cross-national analysis and using ...",This paper focuses on the development of technology-based entrepreneurial spin-offs in the Göteborg region. Employment growth and patenting activities of university spin-offs (USOs) from Chalmers Univ...,Creation of university spin-offs has become one of the most supported ways for the university to accomplish the objective of knowledge transfer to the society. Since university spin-offs (USOs) are fi...
3,3_engagement_scientists_research_academic,59,"engagement, scientists, research, academic, activities, industry, science, commercial, academics, scientific",30.0,EMERGING,"A considerable body of work highlights the relevance of collaborative research, contract research, consulting and informal relationships for university-industry knowledge transfer. We present a system...",The growing recognition of universities' potential to positively impact their environments has led to increased discussions about their external engagement with stakeholders within the quadruple helix...,"We provide a systematic review of the literature on academic engagement from 2011 onwards, which was the cut-off year of a previous review article published in Research Policy. Academic engagement ref..."
4,4_digital_design_entrepreneurship_technologies,53,"digital, design, entrepreneurship, technologies, translation, knowledge, research, academic, dt, paper",20.0,FRONTIER,"Today's digital technologies, such as social media, business analytics, the Internet of Things, big data, advanced manufacturing, 3D printing, cloud and cyber-solutions and MOOCs, permeate every priva...","There is more and more digital entrepreneurship emerging in practice, but research on it is rare and scattered, meaning that a review of digital entrepreneurship is important and necessary. Based on a...","Digital technology has become a new economic and social force, reshaping traditional business models, strategies, structures, and processes. This is a challenge for human capital to develop continuous..."
5,5_oil_shrimp_food_cnt,23,"oil, shrimp, food, cnt, semarang, crop, scm, sugarcane, sensors, health",0.0,FRONTIER,"The present work aimed to identify and analyse stakeholders’ role in improving food safety and halalness in Semarang City. The effectiveness of food safety control can be ensured by one actor, and req...","Asia is the largest producer of shrimp, accounting for 70% of the global cultured production. The market for shrimp has a high demand and the by-products from shrimp processing make up 40–60% of the w...","Hypothesis: Oil spills stemming from supertankers, drilling, and natural events represent a serious problem worldwide due to the potential harms to marine ecosystems and aquatic life. To date, various..."
6,6_clinical_health_pulmonary_asthma,23,"clinical, health, pulmonary, asthma, technology, funded, research, commercialization, value, funding",20.0,FRONTIER,"Objective: Because the way clinicians contribute to the design of a new technology remains poorly understood, our study describes how two academic spin-offs developed a labor decision support software...","“Translational medicine” has been a buzzword for over two decades. The concept was intended to be lofty, to reflect a new “bench-to-bedside” approach to basic and clinical research that would bridge f...","Translational medicine has been a buzzword for over two decades. The concept was intended to be lofty, to reflect a new ""bench-to-bedside"" approach to basic and clinical research that would bridge fie..."
7,7_political_buchanan_science_academic,21,"political, buchanan, science, academic, war, transsystemic, social, eugenics, essay, choice",10.0,FRONTIER,"We consider Gordon Tullock’s impact in political science, focusing on his influence as a scholar and as an academic entrepreneur. It is common to think of Tullock as a “natural economist,” but his for...","Using archival material from the Thomas Jefferson Center for the Study of Political Economy and first-person recollections from relevant figures, we reconstruct James M. Buchanan's mission (in partner...",The initial development of Latin American studies in Britain in the early 1960s resulted from the interest of pioneering academics in London and Cambridge and the Royal Institute of International Affa...
8,8_sustainability_sustainable_sd_university,17,"sustainability, sustainable, sd, university, development, environmental, impacts, universities, heis, research",20.0,FRONTIER,"Recent studies suggest that a growing number of universities are embracing the notion that sustainability should and can be integrated into the university support system for entrepreneurship, or that ...","The sustainability orientation of entrepreneurial companies is crucial for addressing the sustainability challenges of our time. However, research on the role of sustainability in enhancing performanc...","Given the profound environmental and societal challenges, many higher education institutions (HEI) have adopted sustainability as a central mission to induce desirable societal impacts. While previous..."
9,9_farmers_environmental_sustainability_land,12,"farmers, environmental, sustainability, land, eutrophication, wcis, urban, smallholder, blue, carbon",0.0,FRONTIER,"Purpose: This research aims to explore strategies to prevent environmental accounting fraud in the digital era by using the Pentahelix model to support the green economy in the 3T (Frontier, Outermost...",Climate change disproportionally affects many countries in the Global South where smallholder farmers make up the majority of the agricultural sector. Weather and Climate Information Services (WCIS) b...,"Here, we present an application of systems thinking to controlling Baltic Sea eutrophica-tion—a wicked environmental problem characterized by multiple stakeholder perspectives and no single, agreed up..."
10,10_sstl_fas_pbifs_leggso,10,"sstl, fas, pbifs, leggso, surrey, investment, angels, ntbfs, sweeting, patryk",0.0,FRONTIER,"Several hurdles hamper the commercialization of (scientific) knowledge, especially in Europe. Both from a financial and operational perspective, opportunities emerge for new business models to support...","The case is set in Denmark in 2019. It describes the seed funding of Leggso, a cleantech start-up that was developing a new technology for turning lignin (wood scrap) into liquid biofuel. This busines...","Some important hurdles hamper the commercialisation of (scientific) knowledge, especially in Europe. Currently, the support provided by investors and technology transfer offices seems insufficient for..."
11,11_creative_arts_creativity_entrepreneurship,8,"creative, arts, creativity, entrepreneurship, learning, economy, based, ideas, article, studies",10.0,FRONTIER,This article explores the relationships between several notions: the ‘creative economy’; New Growth Theory and the primacy of ideas; academic entrepreneurship; and the new paradigm of cultural product...,"This article argues that the emerging field of creative industry studies, for reasons of its inter-disciplinary origins, has tended to sidestep questions of method. Sociology can play a role in rectif...","The extensive literature on academic entrepreneurship has focused almost entirely on science and engineering, while little is known about the extent of it in other disciplines, most notably the creati..."
12,12_parks_park_science_stps,8,"parks, park, science, stps, firms, csos, ntbfs, companies, based, libraries",20.0,FRONTIER,"This research has explored the R&D networks and product innovation patterns made by the NTBFs (University spin offs, USOs and corporate spin-offs, CSOs) located on Science Parks. It seems resonable to...","The correct management of science parks is strategic for universities, as well as a synergistic effect for companies therein installed. Park managers have to decide, among other things, whether they c...",This study is in the field of new technology-based firms and the role of Science Parks. The assessing of academic knowledge and expertise by businesses located on site is a key principle of Science Pa...
13,13_sign_buildings_dynamic_pancer,8,"sign, buildings, dynamic, pancer, slam, construction, objects, jalma, geopark, digital",0.0,FRONTIER,"Identifying dynamic objects in dynamic scenes remains a challenge for traditional simultaneous localization and mapping (SLAM) algorithms. Additionally, these algorithms are not able to adequately inp...","The construction sector is currently undergoing a deep digital transformation resulting from the prioritization of emerging technologies, among which are digital twins. New goals and opportunities are...","Designing and implementing an appropriate sign system as is required for geosites and geoforests within UNESCO Global Geopark members. These geosites and geoforests are managed by local communities, s..."
